iso_time,rx_ms,station_id,src_mac,type,fields
2026-02-24T12:46:41.598+01:00,1771933601598,0,28:56:2F:63:C5:20,R,"94,10,710.8,-87.0,9476524"
2026-02-24T12:46:41.729+01:00,1771933601729,0,28:56:2F:63:C6:A8,R,"245,43,697.2,-80.4,10054797"
2026-02-24T12:46:41.805+01:00,1771933601805,0,28:56:2F:63:C5:20,C,"94,3,3,-2.71,1.33,-9.37,-0.1,0.1,0.4,9476731,207,8,75"
2026-02-24T12:46:41.881+01:00,1771933601881,0,28:56:2F:63:C7:48,R,"3,245,487.5,-81.0,9848777"
2026-02-24T12:46:42.338+01:00,1771933602338,0,28:56:2F:63:C6:A8,R,"245,94,466.4,-87.9,10055930"
2026-02-24T12:46:43.110+01:00,1771933603110,0,28:56:2F:63:C7:30,R,"96,245,236.0,-80.5,10228021"
2026-02-24T12:46:43.249+01:00,1771933603249,0,28:56:2F:63:C7:48,H,"3,17128,4,9850144"
2026-02-24T12:46:43.448+01:00,1771933603448,0,28:56:2F:63:C6:A8,C,"245,1,3,0.25,5.79,-8.34,5.8,0.1,1.6,10056637,707,5,72"
2026-02-24T12:46:44.093+01:00,1771933604093,0,28:56:2F:63:C6:A8,R,"245,96,254.8,-80.2,10057684"
2026-02-24T12:46:44.171+01:00,1771933604171,0,28:56:2F:63:C7:48,R,"3,43,190.5,-81.4,9851065"
2026-02-24T12:46:44.637+01:00,1771933604637,0,28:56:2F:63:C6:A8,R,"245,3,804.6,-86.1,10058227"
2026-02-24T12:46:44.750+01:00,1771933604750,0,28:56:2F:63:C7:48,R,"3,94,523.1,-82.1,9851644"
2026-02-24T12:46:45.301+01:00,1771933605301,0,28:56:2F:63:C7:48,R,"3,96,567.7,-81.4,9852194"
2026-02-24T12:46:45.306+01:00,1771933605306,0,28:56:2F:63:C6:A8,R,"245,43,694.9,-83.7,10058895"
2026-02-24T12:46:45.804+01:00,1771933605804,0,28:56:2F:63:C6:A8,R,"245,96,254.3,-76.0,10059394"
2026-02-24T12:46:46.363+01:00,1771933606363,0,28:56:2F:63:C6:A8,R,"245,94,466.4,-85.1,10059951"
2026-02-24T12:46:47.590+01:00,1771933607590,0,28:56:2F:63:C6:A8,R,"245,98,251.0,-75.8,10060650"
2026-02-24T12:46:48.141+01:00,1771933608141,0,28:56:2F:63:C7:48,C,"3,0,2,-1.13,5.04,-7.06,22.0,-5.9,10.4,9854565,648,6,72"
2026-02-24T12:46:48.754+01:00,1771933608754,0,28:56:2F:63:C7:48,R,"3,94,509.5,-82.2,9855645"
2026-02-24T12:46:48.907+01:00,1771933608907,0,28:56:2F:63:C6:A8,C,"245,1,3,-0.70,5.53,-7.98,4.9,3.1,-1.5,10062170,1520,5,72"
2026-02-24T12:46:48.912+01:00,1771933608912,0,28:56:2F:63:C6:A8,R,"245,96,243.0,-72.3,10062492"
2026-02-24T12:46:49.953+01:00,1771933609953,0,28:56:2F:63:C7:48,R,"3,43,190.5,-85.9,9856843"
2026-02-24T12:46:50.048+01:00,1771933610048,0,28:56:2F:63:C6:A8,R,"245,98,251.0,-81.8,10063633"
2026-02-24T12:46:50.053+01:00,1771933610053,0,28:56:2F:63:C5:20,R,"94,3,525.0,-82.4,9484973"
2026-02-24T12:46:50.586+01:00,1771933610586,0,28:56:2F:63:C7:48,R,"3,96,567.7,-72.1,9857475"
2026-02-24T12:46:50.731+01:00,1771933610731,0,28:56:2F:63:C6:A8,H,"245,17493,6,10064193"
2026-02-24T12:46:50.736+01:00,1771933610736,0,28:56:2F:63:C6:A8,R,"245,3,804.6,-80.8,10064317"
2026-02-24T12:46:52.037+01:00,1771933612037,0,28:56:2F:63:C7:30,C,"96,3,3,0.38,9.39,-1.46,26.1,-7.4,-29.4,10236616,3641,6,70"
2026-02-24T12:46:52.043+01:00,1771933612043,0,28:56:2F:63:C7:30,H,"96,17805,6,10236807"
2026-02-24T12:46:52.196+01:00,1771933612196,0,28:56:2F:63:C6:A8,C,"245,1,3,-0.10,5.53,-8.21,-4.0,1.4,0.0,10065744,1427,6,72"
2026-02-24T12:46:52.209+01:00,1771933612209,0,28:56:2F:63:C7:28,C,"43,3,2,-3.34,-1.67,-6.73,-49.3,62.4,-115.4,9714196,1659,7,71"
2026-02-24T12:46:52.306+01:00,1771933612306,0,28:56:2F:63:C7:48,R,"3,94,509.5,-81.2,9859195"
2026-02-24T12:46:52.777+01:00,1771933612777,0,28:56:2F:63:C7:48,R,"3,245,428.8,-82.0,9859666"
2026-02-24T12:46:53.210+01:00,1771933613210,0,28:56:2F:63:C7:30,R,"96,3,396.7,-77.9,10237593"
2026-02-24T12:46:53.448+01:00,1771933613448,0,28:56:2F:63:C7:48,H,"3,17146,6,9860201"
2026-02-24T12:46:53.456+01:00,1771933613456,0,28:56:2F:63:C7:48,C,"3,0,1,-1.89,6.53,-7.18,1.8,-4.5,16.2,9860344,678,6,72"
2026-02-24T12:46:53.689+01:00,1771933613689,0,28:56:2F:63:C7:30,R,"96,90,381.4,-78.0,10238595"
2026-02-24T12:46:53.930+01:00,1771933613930,0,28:56:2F:63:C7:48,R,"3,96,567.7,-70.4,9860819"
2026-02-24T12:46:54.361+01:00,1771933614361,0,28:56:2F:63:C5:18,C,"98,0,2,-2.01,-1.18,-9.75,2.7,-13.7,-4.6,9765739,997,7,74"
2026-02-24T12:46:54.414+01:00,1771933614414,0,28:56:2F:63:C6:A8,R,"245,3,804.6,-83.3,10067450"
2026-02-24T12:46:55.195+01:00,1771933615195,0,28:56:2F:63:C7:48,R,"3,98,318.1,-82.3,9861465"
2026-02-24T12:46:55.514+01:00,1771933615514,0,28:56:2F:63:C6:A8,C,"245,1,3,-0.26,5.27,-7.88,-8.1,-0.2,0.5,10068799,752,6,72"
2026-02-24T12:46:55.779+01:00,1771933615779,0,28:56:2F:63:C7:48,R,"3,94,467.3,-73.3,9862667"
2026-02-24T12:46:55.903+01:00,1771933615903,0,28:56:2F:63:C7:30,R,"96,90,381.4,-77.1,10240807"
2026-02-24T12:46:56.091+01:00,1771933616091,0,28:56:2F:63:C5:18,R,"98,43,232.2,-69.4,9767354"
2026-02-24T12:46:56.103+01:00,1771933616103,0,28:56:2F:63:C6:A8,H,"245,17502,6,10069224"
2026-02-24T12:46:56.302+01:00,1771933616302,0,28:56:2F:63:C7:48,R,"3,245,434.5,-71.5,9863189"
2026-02-24T12:46:56.509+01:00,1771933616509,0,28:56:2F:63:C7:48,C,"3,1,2,-1.49,6.08,-8.71,-19.6,15.4,-10.9,9863396,207,6,72"
2026-02-24T12:46:56.696+01:00,1771933616696,0,28:56:2F:63:C5:18,R,"98,96,594.0,-88.2,9768490"
2026-02-24T12:46:57.310+01:00,1771933617310,0,28:56:2F:63:C6:A8,R,"245,90,591.2,-88.8,10070290"
2026-02-24T12:46:57.938+01:00,1771933617938,0,28:56:2F:63:C7:28,R,"43,245,748.8,-91.5,9720208"
2026-02-24T12:46:57.999+01:00,1771933617999,0,28:56:2F:63:C6:A8,C,"245,1,3,-0.08,5.84,-8.26,8.6,0.1,2.0,10071576,108,6,72"
2026-02-24T12:46:58.063+01:00,1771933618063,0,28:56:2F:63:C7:48,R,"3,96,567.7,-70.2,9864948"
2026-02-24T12:46:58.910+01:00,1771933618910,0,28:56:2F:63:C7:28,C,"43,0,2,-5.31,-2.00,-6.20,11.8,-6.8,-23.3,9720851,643,7,71"
2026-02-24T12:46:59.058+01:00,1771933619058,0,28:56:2F:63:C6:A8,R,"245,3,804.6,-80.6,10072639"
2026-02-24T12:47:00.929+01:00,1771933620929,0,28:56:2F:63:C7:28,H,"43,16705,7,9723199"
2026-02-24T12:47:01.075+01:00,1771933621075,0,28:56:2F:63:C6:A8,R,"245,98,251.0,-85.4,10074210"
2026-02-24T12:47:01.082+01:00,1771933621082,0,28:56:2F:63:C6:A8,C,"245,1,3,0.01,5.61,-8.23,8.8,-3.0,-0.2,10074617,407,6,72"
2026-02-24T12:47:01.286+01:00,1771933621286,0,28:56:2F:63:C7:28,R,"43,98,541.7,-71.7,9723555"
2026-02-24T12:47:01.931+01:00,1771933621931,0,28:56:2F:63:C7:28,R,"43,245,766.2,-86.5,9724199"
2026-02-24T12:47:02.651+01:00,1771933622651,0,28:56:2F:63:C7:48,C,"3,0,1,-1.27,5.66,-7.29,10.4,-21.4,5.6,9869301,2707,6,72"
2026-02-24T12:47:03.184+01:00,1771933623184,0,28:56:2F:63:C7:30,R,"96,3,335.7,-71.2,10247626"
2026-02-24T12:47:03.276+01:00,1771933623276,0,28:56:2F:63:C7:28,R,"43,94,463.1,-88.7,9724778"
2026-02-24T12:47:03.860+01:00,1771933623860,0,28:56:2F:63:C7:30,R,"96,94,244.9,-64.3,10248758"
2026-02-24T12:47:03.983+01:00,1771933623983,0,28:56:2F:63:C7:28,R,"43,3,130.0,-89.8,9726251"
2026-02-24T12:47:04.116+01:00,1771933624116,0,28:56:2F:63:C6:A8,R,"245,94,471.5,-86.2,10077006"
2026-02-24T12:47:04.119+01:00,1771933624119,0,28:56:2F:63:C6:A8,C,"245,1,3,-0.28,5.72,-8.06,5.4,-0.5,2.3,10077314,308,6,72"
2026-02-24T12:47:04.121+01:00,1771933624121,0,28:56:2F:63:C6:A8,R,"245,98,251.0,-87.3,10077696"
2026-02-24T12:47:04.542+01:00,1771933624542,0,28:56:2F:63:C7:28,C,"43,3,2,-0.53,4.03,-9.20,14.5,-2.9,-14.7,9726810,559,7,71"
2026-02-24T12:47:04.714+01:00,1771933624714,0,28:56:2F:63:C6:A8,R,"245,3,804.6,-82.1,10078292"
2026-02-24T12:47:04.867+01:00,1771933624867,0,28:56:2F:63:C7:48,R,"3,98,345.1,-84.1,9871749"
2026-02-24T12:47:05.692+01:00,1771933625692,0,28:56:2F:63:C6:A8,R,"245,96,243.5,-80.0,10079270"
2026-02-24T12:47:06.029+01:00,1771933626029,0,28:56:2F:63:C7:48,R,"3,94,459.3,-76.2,9872910"
2026-02-24T12:47:06.199+01:00,1771933626199,0,28:56:2F:63:C7:28,H,"43,16713,7,9728235"
2026-02-24T12:47:06.596+01:00,1771933626596,0,28:56:2F:63:C7:48,R,"3,245,428.8,-83.3,9873478"
2026-02-24T12:47:06.783+01:00,1771933626783,0,28:56:2F:63:C7:28,R,"43,90,390.4,-85.2,9729051"
2026-02-24T12:47:06.866+01:00,1771933626866,0,28:56:2F:63:C5:20,R,"94,43,417.1,-89.0,9501779"
2026-02-24T12:47:07.139+01:00,1771933627139,0,28:56:2F:63:C7:30,C,"96,3,3,0.15,9.53,-1.83,11.8,0.2,12.8,10251511,2753,7,70"
2026-02-24T12:47:07.142+01:00,1771933627142,0,28:56:2F:63:C7:30,H,"96,17833,8,10251902"
2026-02-24T12:47:07.323+01:00,1771933627322,0,28:56:2F:63:C6:A8,C,"245,1,2,-0.39,5.32,-8.00,-8.2,-6.2,-1.8,10080552,1282,5,72"
2026-02-24T12:47:07.759+01:00,1771933627759,0,28:56:2F:63:C7:48,R,"3,43,190.5,-94.7,9874057"
2026-02-24T12:47:07.761+01:00,1771933627761,0,28:56:2F:63:C7:48,R,"3,96,567.7,-85.4,9874640"
2026-02-24T12:47:08.495+01:00,1771933628495,0,28:56:2F:63:C6:A8,R,"245,96,246.8,-75.7,10082071"
2026-02-24T12:47:08.546+01:00,1771933628546,0,28:56:2F:63:C7:28,R,"43,96,577.6,-90.7,9730813"
2026-02-24T12:47:09.602+01:00,1771933629602,0,28:56:2F:63:C6:A8,R,"245,94,471.5,-89.0,10082645"
2026-02-24T12:47:09.685+01:00,1771933629685,0,28:56:2F:63:C7:28,R,"43,90,431.6,-86.0,9731949"
2026-02-24T12:47:10.216+01:00,1771933630216,0,28:56:2F:63:C6:A8,C,"245,1,2,-0.42,5.39,-8.07,9.4,0.2,-2.9,10083415,770,6,72"
2026-02-24T12:47:10.403+01:00,1771933630403,0,28:56:2F:63:C7:28,C,"43,0,2,-0.27,3.11,-8.08,0.9,2.4,-39.2,9732666,717,6,71"
2026-02-24T12:47:10.764+01:00,1771933630764,0,28:56:2F:63:C5:18,R,"98,245,247.7,-82.2,9782108"
2026-02-24T12:47:10.896+01:00,1771933630896,0,28:56:2F:63:C6:A8,H,"245,17528,6,10084329"
2026-02-24T12:47:10.930+01:00,1771933630930,0,28:56:2F:63:C7:28,R,"43,98,541.7,-66.7,9733195"
2026-02-24T12:47:11.224+01:00,1771933631224,0,28:56:2F:63:C7:48,R,"3,245,434.5,-75.4,9878102"
2026-02-24T12:47:11.376+01:00,1771933631376,0,28:56:2F:63:C6:A8,R,"245,96,246.3,-70.8,10084950"
2026-02-24T12:47:11.553+01:00,1771933631552,0,28:56:2F:63:C7:30,R,"96,90,363.1,-84.3,10255920"
2026-02-24T12:47:11.788+01:00,1771933631788,0,28:56:2F:63:C7:48,R,"3,96,567.7,-70.7,9878666"
2026-02-24T12:47:11.920+01:00,1771933631920,0,28:56:2F:63:C5:18,C,"98,3,2,-3.49,-2.12,-8.88,-16.0,1.5,-9.9,9783702,1594,7,74"
2026-02-24T12:47:11.956+01:00,1771933631956,0,28:56:2F:63:C6:A8,R,"245,94,471.5,-84.8,10085530"
2026-02-24T12:47:12.128+01:00,1771933632128,0,28:56:2F:63:C5:18,R,"98,3,378.2,-82.5,9783911"
2026-02-24T12:47:12.576+01:00,1771933632576,0,28:56:2F:63:C6:A8,R,"245,98,251.0,-83.0,10086149"
2026-02-24T12:47:12.699+01:00,1771933632699,0,28:56:2F:63:C6:A8,C,"245,1,2,-0.05,5.29,-8.28,-3.4,-4.9,2.4,10086270,121,6,72"
2026-02-24T12:47:13.006+01:00,1771933633006,0,28:56:2F:63:C7:48,R,"3,90,424.6,-81.0,9879882"
2026-02-24T12:47:13.221+01:00,1771933633221,0,28:56:2F:63:C5:18,R,"98,43,199.4,-80.9,9785005"
2026-02-24T12:47:13.293+01:00,1771933633293,0,28:56:2F:63:C7:28,C,"43,0,3,0.43,1.00,-10.60,27.5,0.7,28.0,9735555,616,6,71"
2026-02-24T12:47:13.619+01:00,1771933633619,0,28:56:2F:63:C7:48,H,"3,17181,6,9880358"
2026-02-24T12:47:13.812+01:00,1771933633812,0,28:56:2F:63:C7:28,R,"43,3,130.0,-90.3,9736075"
2026-02-24T12:47:14.004+01:00,1771933634004,0,28:56:2F:63:C5:20,R,"94,96,242.6,-69.4,9508411"
2026-02-24T12:47:14.304+01:00,1771933634304,0,28:56:2F:63:C7:30,R,"96,3,335.5,-71.1,10259196"
2026-02-24T12:47:14.310+01:00,1771933634310,0,28:56:2F:63:C6:A8,R,"245,90,589.5,-88.7,10087882"
2026-02-24T12:47:14.406+01:00,1771933634406,0,28:56:2F:63:C5:18,R,"98,90,386.1,-75.4,9786190"
2026-02-24T12:47:14.633+01:00,1771933634633,0,28:56:2F:63:C7:48,R,"3,245,428.8,-76.2,9881000"
2026-02-24T12:47:14.638+01:00,1771933634638,0,28:56:2F:63:C7:48,R,"3,96,567.7,-79.3,9881508"
2026-02-24T12:47:14.825+01:00,1771933634825,0,28:56:2F:63:C5:18,C,"98,0,2,-2.99,-1.82,-9.04,-0.1,0.1,-1.2,9786607,417,6,74"
2026-02-24T12:47:14.946+01:00,1771933634946,0,28:56:2F:63:C7:28,R,"43,90,459.8,-83.0,9736742"
2026-02-24T12:47:15.243+01:00,1771933635243,0,28:56:2F:63:C7:48,R,"3,98,365.5,-67.4,9882118"
2026-02-24T12:47:15.443+01:00,1771933635443,0,28:56:2F:63:C6:A8,R,"245,43,863.3,-87.3,10089014"
2026-02-24T12:47:15.546+01:00,1771933635546,0,28:56:2F:63:C7:30,R,"96,94,238.3,-70.0,10260438"
2026-02-24T12:47:15.660+01:00,1771933635660,0,28:56:2F:63:C7:28,R,"43,245,796.7,-85.3,9737923"
2026-02-24T12:47:15.790+01:00,1771933635790,0,28:56:2F:63:C6:A8,H,"245,17537,6,10089361"
2026-02-24T12:47:16.016+01:00,1771933636016,0,28:56:2F:63:C6:A8,R,"245,90,587.9,-88.7,10089588"
2026-02-24T12:47:16.038+01:00,1771933636038,0,28:56:2F:63:C7:28,H,"43,16730,6,9738301"
2026-02-24T12:47:16.540+01:00,1771933636540,0,28:56:2F:63:C7:30,R,"96,98,607.1,-85.7,10260931"
2026-02-24T12:47:16.726+01:00,1771933636726,0,28:56:2F:63:C7:28,R,"43,96,581.8,-92.0,9738988"
2026-02-24T12:47:17.087+01:00,1771933637087,0,28:56:2F:63:C7:30,H,"96,17851,6,10261981"
2026-02-24T12:47:17.185+01:00,1771933637185,0,28:56:2F:63:C6:A8,R,"245,96,246.3,-84.4,10090757"
2026-02-24T12:47:17.399+01:00,1771933637399,0,28:56:2F:63:C7:28,R,"43,94,531.1,-84.8,9739661"
2026-02-24T12:47:17.740+01:00,1771933637740,0,28:56:2F:63:C7:30,R,"96,3,330.3,-85.1,10262632"
2026-02-24T12:47:17.778+01:00,1771933637778,0,28:56:2F:63:C5:18,C,"98,0,3,-3.86,-2.46,-8.42,0.7,2.4,-0.7,9789456,1010,6,74"
2026-02-24T12:47:18.099+01:00,1771933638099,0,28:56:2F:63:C7:48,R,"3,98,365.5,-77.1,9884973"
2026-02-24T12:47:18.124+01:00,1771933638124,0,28:56:2F:63:C7:30,R,"96,245,256.6,-83.6,10263015"
2026-02-24T12:47:18.412+01:00,1771933638412,0,28:56:2F:63:C6:A8,R,"245,94,471.5,-82.3,10091552"
2026-02-24T12:47:18.513+01:00,1771933638513,0,28:56:2F:63:C7:48,H,"3,17189,6,9885388"
2026-02-24T12:47:18.673+01:00,1771933638673,0,28:56:2F:63:C7:48,R,"3,43,402.1,-77.8,9885547"
2026-02-24T12:47:18.730+01:00,1771933638730,0,28:56:2F:63:C7:30,R,"96,94,238.3,-71.9,10263621"
2026-02-24T12:47:18.831+01:00,1771933638830,0,28:56:2F:63:C7:28,R,"43,90,475.7,-80.6,9741092"
2026-02-24T12:47:18.937+01:00,1771933638937,0,28:56:2F:63:C7:28,C,"43,0,1,0.04,0.90,-9.09,9.9,1.9,27.3,9741199,107,6,71"
2026-02-24T12:47:19.007+01:00,1771933639007,0,28:56:2F:63:C6:A8,R,"245,3,804.6,-82.1,10092578"
2026-02-24T12:47:19.417+01:00,1771933639417,0,28:56:2F:63:C7:28,R,"43,98,541.7,-68.2,9741679"
2026-02-24T12:47:19.795+01:00,1771933639795,0,28:56:2F:63:C7:48,R,"3,96,567.7,-82.7,9886116"
2026-02-24T12:47:20.151+01:00,1771933640151,0,28:56:2F:63:C7:48,C,"3,0,2,-3.22,3.74,-5.99,1.3,30.0,40.7,9887024,307,6,72"
2026-02-24T12:47:20.473+01:00,1771933640473,0,28:56:2F:63:C5:18,R,"98,43,188.1,-68.0,9792254"
2026-02-24T12:47:20.541+01:00,1771933640541,0,28:56:2F:63:C7:28,R,"43,245,853.0,-89.3,9742317"
2026-02-24T12:47:20.995+01:00,1771933640995,0,28:56:2F:63:C7:48,R,"3,94,351.4,-82.8,9887867"
2026-02-24T12:47:21.319+01:00,1771933641319,0,28:56:2F:63:C6:A8,R,"245,98,251.0,-86.2,10094887"
2026-02-24T12:47:21.962+01:00,1771933641962,0,28:56:2F:63:C6:A8,R,"245,3,804.6,-83.5,10095529"
2026-02-24T12:47:22.164+01:00,1771933642164,0,28:56:2F:63:C7:48,R,"3,43,355.9,-75.3,9889035"
2026-02-24T12:47:22.992+01:00,1771933642992,0,28:56:2F:63:C6:A8,R,"245,43,863.3,-83.0,10096015"
2026-02-24T12:47:23.230+01:00,1771933643230,0,28:56:2F:63:C7:48,C,"3,2,2,-5.68,4.01,-7.28,-12.4,-14.9,12.1,9889960,925,6,72"
2026-02-24T12:47:23.299+01:00,1771933643299,0,28:56:2F:63:C5:18,C,"98,0,2,-4.93,-2.41,-8.18,-4.3,-8.8,-7.9,9795075,507,6,74"
2026-02-24T12:47:23.357+01:00,1771933643357,0,28:56:2F:63:C7:28,R,"43,98,541.7,-66.5,9745128"
2026-02-24T12:47:23.971+01:00,1771933643971,0,28:56:2F:63:C5:18,R,"98,96,600.3,-81.5,9795748"
2026-02-24T12:47:24.235+01:00,1771933644235,0,28:56:2F:63:C6:A8,C,"245,1,1,0.51,5.49,-8.19,0.5,-0.9,0.7,10097801,207,6,72"
2026-02-24T12:47:25.033+01:00,1771933645033,0,28:56:2F:63:C7:48,R,"3,43,313.9,-86.1,9891903"
2026-02-24T12:47:25.198+01:00,1771933645198,0,28:56:2F:63:C5:18,R,"98,3,337.3,-64.8,9796975"
2026-02-24T12:47:25.573+01:00,1771933645573,0,28:56:2F:63:C7:48,R,"3,96,508.1,-83.7,9892443"
2026-02-24T12:47:25.678+01:00,1771933645678,0,28:56:2F:63:C7:28,C,"43,0,1,-1.56,-3.53,-6.53,17.5,-54.1,8.7,9747301,952,6,71"
2026-02-24T12:47:25.883+01:00,1771933645883,0,28:56:2F:63:C7:48,C,"3,2,2,-5.18,6.86,-5.15,15.5,-17.8,48.2,9892750,307,6,72"
2026-02-24T12:47:26.281+01:00,1771933646281,0,28:56:2F:63:C6:A8,H,"245,17553,6,10099416"
2026-02-24T12:47:26.358+01:00,1771933646358,0,28:56:2F:63:C7:28,H,"43,16747,6,9748386"
2026-02-24T12:47:26.416+01:00,1771933646416,0,28:56:2F:63:C5:18,H,"98,16896,6,9798193"
